HolderAddress,Balance,PendingBalanceUpdate
0xc8512f0203b4020e01636db90a56ee25972d2356,"404,833.00",no
0xf8492eeda89a12179694e618e9029c575fada7c4,"181,481.00",no
0x0aa6a30017cd6c0f704968eb9bdb1eb353dcca4e,"166,666.00",no
0xffce9a1fd9980500ea892104ce0880c733a762f6,"155,925.00",no
0x33baec77f90445790739be09a0742d20a78656a5,"148,518.00",no
0x5f3fa848a2f6b56f5993688c803f7afa063e2526,"120,000.00",no
0xba77402f067406b9daed3dd1840318ab59c00802,"103,888.00",no
0x0891837effb98b275466c08c809467748c61c412,"99,999.00",no
0x97df67bd87f0b0eebb1beb3b48714c957954aaf7,"92,777.00",no
0xb906bfbb7005a6f2c564633b8462928fca9db3df,"74,000.00",no
0xcbc2a8e95d9526aa6eb55c84767ee59bcc0e161f,"65,000.00",no
0x8eee81574343cec494801d3525bd55675ea02706,"60,416.00",no
0x299426412665d0d11ca15c43f1e975e898e4a2f7,"55,555.00",no
0x94705296fac507e620e42b2b1872801d3bd0bc2a,"44,916.00",no
0xf315c349e13c18c4fe9fad289ea7c5ec6055ae6e,"44,444.00",no
0x98d74461e8c5dbd13653514713a848f1971deb0b,"42,033.00",no
0xfc80ebf4d1085a05bc7353cc7feb070d9931c223,"40,000.00",no
0x77fd4a2adccc1f901230daeee7ec6598b2149f9b,"35,000.00",no
0xe7712328bbaf766f61c2f84b499e1e87bdd3eeb6,"35,000.00",no
0xde2e4c3baa1cb2b848700f9c89437a84e9af591d,"34,250.00",no
0x7de681c1563f590abde3dcc10142997a03379da0,"34,000.00",no
0x669a752fa8170cb6c3abd1a2680f2ad8878ba4b8,"33,888.00",no
0x8d2119297ec95d810e56547a1cff5c5204143392,"33,550.00",no
0xda5329126b9f4e0190d2cf4275c0e8660fa3995e,"33,333.00",no
0x2726ce5790e8fa95265fa9d1aaa21eb9f3601b81,"33,333.00",no
0x03c5983b9b3409998a2013118821123450dc0723,"33,333.00",no
0x807afe36c151f10cb445572a4352d51c0e6d81a8,"33,010.00",no
0x1e8004f2b01f0235948c9fb027f6148fcc9ebbc1,"33,000.00",no
0x4c3f35f2c41e2423ce3b2e17dae54df4f31e8ef7,"32,777.00",no
0xd75a69a79b949f6022e518c96caf78781ca2fe89,"30,200.00",no
0x1a14ea5ead074503505706272aa7b5092005a906,"30,000.00",no
0x299c763ef5aeb91970f0cb70295dde9484928aed,"30,000.00",no
0x1280cfea89a214b490c202fa22688813df8d8c04,"28,400.00",no
0x276ee7b861fff06ef5d34ffa59b4e99255605225,"26,010.00",no
0xe95fcabb5139706c78b398935405fff7f85006d1,"25,000.00",no
0xf831406d1b16594841dcd0d8b334d981415b235e,"22,000.00",no
0x0916e154a81842edf72214bd07b6225c40be48c7,"20,925.93",no
0xa3757c3e4c4e9fe87470ea2597b1cc0782fa1799,"20,055.56",no
0x5556b8d6def66c4d8f410e98f14ecbc6b00df645,"20,000.00",no
0x825ba1848b589fb9e8713c69de4576e405fea051,"20,000.00",no
0xeec4df70a25886333a40e8bacbe606cea958d55c,"20,000.00",no
0xda64a2d63cc2361b4cb18f1bc8ea5fbce69486ea,"19,555.56",no
0xd0b9faf551ccd95b7434035d635120f62ee44281,"16,666.67",no
0x338732b5c1604cfa48bcb5828549b1fc2daae561,"16,000.00",no
0xbd137384428efba9612c8eb95f3413feb327e3de,"15,100.00",no
0x9c0bc2f2a7e4a2ab0b52cd02baa052613a574668,"14,800.00",no
0x3313e9fe3015a31494ede43d25ce72f1801f63ec,"14,200.00",no
0x8d360c44fb8da5c9e20a42af96ae2f098e8fdcf8,"12,291.67",no
0x706a7da0d03241b99fd7a65eed697e24fdb18b5b,"12,000.00",no
0xd4fe04c281e7625a7585969a4d84b7890517dcaa,"12,000.00",no
0xe3d755fe1f413cdc38d0e127804bce70b4a93a94,"12,000.00",no
0x337556af5e1cf001576bd715ab753ad1fa2ce5ed,"11,879.40",no
0xe9da703cdce768c94da6bda31a0e2d083d57980d,"11,783.30",no
0x1b85f4eb8420d0d43969dd05ef9dd412ce916992,"11,777.78",no
0xfefeb357b1bdb4bb748d02e0febc79080c84e603,"11,680.00",no
0xf2621ae664e35a896f4539e8afc1da495fd25128,"11,400.00",no
0xb7e82c204b2d24357b97e9763aacfb6512d47339,"11,200.00",no
0x30750aaffd52af7be92fa4764185785d7d1761c8,"11,000.00",no
0xd8140a1d73d416d40f8d4c2958a9f8667aae93d9,"11,000.00",no
0x824c45ff6ea20b47a7f31a3c974f12493363318a,"11,000.00",no
0x4002b4b6ba43ebb8e5619125ee9c255b55c4cd72,"11,000.00",no
0x3f7e0476a242d2b63b68d2d11e98d1d55cb4faa4,"10,140.00",no
0x931b56aafc5b7b5bd4a962666c24227b29e387b6,"10,111.11",no
0x6a9fa7251c2c8668f9890b4ce45710915f5ea25b,"10,100.00",no
0x68d82291a12ef83878d2f501d573a3dd3b04854d,"10,055.56",no
0x51a3f2bd5de4ee65bb59a8d52528b43365e7fc8f,"10,000.00",no
0x0a27e178239a38f3d91609f70e17d4f337cbb97e,"10,000.00",no
0x789e05c3ebe34633dee3700744a2cd9686d257ed,"9,868.06",no
0x197c2cb645df3ad5d8c4cb51f6e654f7a68d6346,"9,850.00",no
0x372611a8248f23149ce1a89222a41c2dd25cbe82,"9,687.50",no
0xe4239900d5172817e25b4bbf33fc2c311004bdc1,"9,375.00",no
0xacce3e76e0c3dcd2fde8d41981c142816a1b2180,"9,000.00",no
0xede2576661cee1b2d781a010bf8a1b418166da62,"8,888.89",no
0xc72500bfd325371cbd88ec3914213c4bd6133e06,"8,701.85",no
0x49adb9178e5e3f41f97b6ffad73767108ac2b2e5,"8,400.00",no
0xfb5c4fe1db81e8e4b32b7b25947fbd8eebdf543e,"8,355.56",no
0x4f0682289150a0ca3b4eafb7646693176db5d14a,"8,055.56",no
0x5a2263dafe14819ad070b7dc9de9384985ba7bf2,"7,100.00",no
0x32a0fd38ccdd32e63d7b02e2021fc7eb5c1b9e1f,"6,944.44",no
0xd00ce7344db69d02f180fe264179b6da228741b6,"6,800.00",no
0x7c2ca873b5aa6b6f42e7fc110454e667548467eb,"6,666.67",no
0x80f44b9d166d67160f947576abe5911d0d727f8d,"6,600.00",no
0xdf550030c76c3476a6b926acbfa6fa7c1e6fe164,"6,600.00",no
0xb3b103efee1e4e9e0eb3600a02ef7bf59bdf7060,"6,600.00",no
0xcabb6678b35f22e4ec765a412b1b0415816d4e47,"6,400.00",no
0x48b97b9c94f5cd119523e20d219df2051ed06715,"6,377.78",no
0x65a312f5b6299dc7d2379c1a6e3ec9e289813a95,"6,200.00",no
0x1c69a22e709d7aff8c0220abaf9061b4b35abcbd,"6,200.00",no
0x9c7dbf175a4535ec03ec2df42c079772a69937d3,"6,200.00",no
0x20440a40bbc580824aa969f8ad32c8bd2c3e02af,"6,200.00",no
0x9c1e091bc4909e07fed32cbeab7d27981bc5e1da,"6,175.00",no
0xfb8f6b416f2cfad69336a85347164b73947482ac,"6,000.00",no
0xa225602674cb3dc18c4022e89a480c9ec8bb70c8,"6,000.00",no
0x0f7583c11c27c77c27f7261585e26ce99fca0400,"6,000.00",no
0xaa69078eb6fea6197d683786d35619de589d86a7,"5,920.00",no
0x4952d189ccb08d9290ccb2169eac37ee28e7c5f8,"5,836.00",no
0xd0472cde2d7ed14884feea5f277c4328752fb058,"5,800.00",no
0x5d8923394bde0a3f40440402173d9a2a5f3af0e4,"5,760.00",no
0x22ea4775b1f0ab9921b0d3906ae648e1aad29673,"5,621.40",no
0x1065579c4343b51bd0e8c4ad0a152936ce1a386f,"5,600.00",no
0x73da0bddd6e69d64a6eee44ec5042ed37474fe0b,"5,600.00",no
0xc51923271aaf1efaa9cb60606a0fc73e8d7a2989,"5,600.00",no
0x9b2c0273a0fb37976857b246ef1fa6c05236632a,"5,555.56",no
0xb2e8ef27ba481653bf5f60c92e5f26698c796dc5,"5,555.56",no
0xc572b726786ccd5d177424b7ff635325f6c2fc75,"5,517.24",no
0xf9bda09a7c7ccd0fc4845c174c8087757c456783,"5,500.00",no
0x1345cbea1e0b7a63850f3ce93fa293c33271fb1f,"5,416.67",no
0x7e58c625af1b40f8aa5c89636c49052b213dfc22,"5,416.67",no
0xbdd35427b0db3dc7cc0e890b7decb1dec8d93216,"5,416.67",no
0x52426a51ff297b8707ba35bc19c362378b829f11,"5,400.00",no
0x3b9c0e3483194d1309c423a2f7fdddebdfa80841,"5,210.00",no
0x65b0cf775e59d9cf8f9b9c080a22f9c8597ab3e4,"5,000.00",no
0x3782f427009ff2af2aefdd322b05bccfc2e80600,"5,000.00",no
0x812ac2e58a6c8ef299d203c871a55860b0cbcf0c,"5,000.00",no
0xcf36696a8b847ad6634178f2e744808c0f6345ee,"5,000.00",no
0xf5c3ac09e9c7d455b0c42323d258cb936e0f9d2e,"4,800.00",no
0x184e7c2c3bbc5e0141addf87efaf17b1f9ae37b9,"4,500.00",no
0xc36bfc52e9531b84b079790725f27ac107d153a0,"4,444.44",no
0x789b3275c7a1aa27819dcf99a5abc4d29adaf28f,"4,251.85",no
0x51c77f22097b86972dded87e8923e6afd2ac954a,"4,166.67",no
0xb2a202b3ec33e4fbe42dd85f08c95eab3ab99ee4,"4,166.67",no
0x353adea74714924719054cda0a42d6064c1ebb0a,"4,027.78",no
0x89ef5de8dbe41dcb0034d98a89989e0cecf9c486,"4,000.00",no
0xf329f27ee4a8e0a064358ff30e898e3fb71bbd7e,"4,000.00",no
0xda53c990690aea5d5cd49982d822ca35277086a6,"4,000.00",no
0xea16d770a4818d2eb45d44ae94acd328c1eb5654,"4,000.00",no
0x7158d4a161095dd2f64ff60b5c24dda89e7d6de5,"3,960.00",no
0xf8c2003a83628a905027cd2eb57cc44dabc5c07a,"3,888.89",no
0xb2d7cda20aaedbdd1e00ea82839bd43ae32157e6,"3,800.00",no
0x153fc2cb3f1fb639b0d09c5f5a483fd97c1fba23,"3,800.00",no
0xfc39d1990e53956da94b6635fa32a5506c805ee6,"3,712.35",no
0x69859cedb73a84fd4dc2e4c82a933514e532ef40,"3,703.70",no
0x30e93bb3c0b1b41f461415d908b7990cb25123cb,"3,703.70",no
0xf13fcfb22bb44c3c355a8d1ce63b234a7cf1e723,"3,600.00",no
0x9d3fa62db8c377efbbb0f85c9655907caba08e9d,"3,600.00",no
0x668e1b7bf7bd84073ed28f3aa4913fc6c730205e,"3,540.00",no
0x1334c7887e40f541ce6d115e9630c9e38caeea9d,"3,518.52",no
0x2a48a91f0f130ba8530c1215280201c8b62babb8,"3,333.33",no
0x7417fb40dfb97bf16ab1c32114d4586d3a832f3c,"3,225.00",no
0xfc5ac5b19b46e47976a67f92baad8dc02872f600,"3,100.00",no
0x506bdbf0489782aaa1ba51f1fb654682d42b3209,"3,100.00",no
0x7f580f70d13a5e6f2430cd94f70990225f41b9dc,"3,016.67",no
0x249d7dae0e295039a95ca42c20cca7b0ee421484,"3,000.00",no
0x3a381f4c0936acdb333e6780457df34ea432a0d2,"3,000.00",no
0x76db941ec92960d103b7a0752ad1df986c26f30d,"3,000.00",no
0x3a735ff6c340a6811b916e1768c0c6e39348de6d,"3,000.00",no
0xc87d6b7e650e49c0485bfeb1eae34638ecf54671,"2,944.44",no
0x908235eea5c4dc7861368c0f55a9bd7b339024a8,"2,812.50",no
0xcadf0e145a2c14e27fcd902968cdb235e7ad8137,"2,800.00",no
0x14891339f2bc01e26e2f69e1cba7c734431fbd58,"2,800.00",no
0x4d27636dbca97e95b26c24e00d1daa960f45fe19,"2,777.78",no
0xa10698686c9dcbe6000dddddc891aa0d943eed56,"2,750.00",no
0x7e35b0008f269632559b9b3c0e00b9014d8d2dbc,"2,700.00",no
0xedfd70251b3bd028522fb4baa7141f9eb2a2f19a,"2,700.00",no
0xf8a7840010b8d6aa51f565405d3954a2ca33acb6,"2,560.00",no
0xfd3e0eed6bf6b46c7130f5cb472f8ecefff13d80,"2,500.00",no
0xb1015f12227411e0a5f8adc7511d3018742dce13,"2,500.00",no
0x189530dee702a411f0fc1d97626621e7698c6c4b,"2,500.00",no
0xa592144ca419046170bb5c0684c85a0ecc8ce44e,"2,500.00",no
0x135ba30d1edfea0fb603ddf92eec888fb8f95487,"2,460.00",no
0x8ead7756188349ed5d6d3558dc56ef4b60f04152,"2,400.00",no
0x360a8c92e6f20d92492a2db4183349719dc0cbb4,"2,400.00",no
0x79cce6457f40eadb607cfa0310da887292b073f7,"2,380.00",no
0xfc1201941fc77e9e919fc36cc700d3da1bb2ad7a,"2,300.00",no
0x0c3802a3f7ddbdd9e155501720ae8b661069c2f7,"2,222.22",no
0x6f8f64750485cc2096a14b684dfa41d68b7d2a59,"2,200.40",no
0xb79a2119fbfa5a1769bde6f2edce9f3f2dbeb624,"2,200.00",no
0xda26aff3cb992af0ccd053aab19d29f70c07e69d,"2,120.00",no
0x5e04d7bdd73b46cf59a02eddcbf9c36e5c17ad64,"2,111.11",no
0x81308f14fa15849fd702caaec2e208862dee9cfb,"2,083.33",no
0xf0132e08fce3e839ca97f0716a9709f13d4d0b36,"2,083.33",no
0xe8cef865668c44358e3ee10c07470dc06c0d6e86,"2,083.33",no
0x9fb8ef7f9eebeb51f7667296070d4239eb133cca,"2,000.00",no
0x51ed8a7924fad50844da9f49ec5c283cbdfe3fbc,"2,000.00",no
0x5da3f99d4af07a2c79f67ff8822a52085b0dae8e,"2,000.00",no
0x725655fe414c2c2c0c6b432dafb64a60b22263c1,"2,000.00",no
0x2d89fbe8c4d524567a8913d9f52f46a3c99e347c,"2,000.00",no
0x00e0203b24a8c900d6f742e90ac266107e71fa3f,"1,980.00",no
0xef23a655dcec46560875a0571e62747cab546907,"1,940.00",no
0xc2eb76e3a6c382e1948d9e3da67a4706304c9366,"1,900.00",no
0x11e9ca7fdd8a0cbdd9a868d939e0e0bd960bfff7,"1,833.00",no
0x0afdb827d8db3943a8146f3ff7fa09816192c026,"1,800.00",no
0x4526fc507dc781dea33cb96e0e864e1644026bf9,"1,800.00",no
0x7f053109ca492886f058ac23433799888bc8d53d,"1,800.00",no
0x1d68ab4e147ae85588a700600af0c6ecb46d5c09,"1,800.00",no
0xdaecbfd7bedd5421445649aa469a88c810ff48db,"1,800.00",no
0xb1c27934e9d81c00f770fafede8969d5d7da96d6,"1,777.78",no
0x40971627f315dbfd6f7d9c4111ee7ea8d36d0683,"1,760.00",no
0x20f68cf6cb833187764104e9e551a1f35f2d865a,"1,700.00",no
0xc7e5c0bc7e63c4df45be8dbacf86ec881d7ac960,"1,666.67",no
0x9083eec5a54a791a96de29bb490c9b797d5be6f5,"1,666.67",no
0x4fb63f4eaf43ba9b0ec488d8d80176e654fe9658,"1,666.67",no
0x6403a2a89865813e4f52583d0a7d9c8bdde0d222,"1,666.67",no
0x977832dabc96f2d2c2a820eb66a634c722fbcc67,"1,666.67",no
0x6ba99b29a928b610dfed83e97fa2acc644100bdc,"1,666.67",no
0xb5afa21364d6958397f8ec0e66d66a72782475a0,"1,600.00",no
0x0ed7b42b4ccd7bd623098bc8d2342e4011d9740f,"1,500.00",no
0x9ec0ab0c20030c78a345a2e3b9694e278c33c8e7,"1,481.48",no
0xa8e5b9e070e6bea5981d7c95e3a495c3eeac69ed,"1,480.56",no
0xb9bd7bce59af91ed87c0060248a3f29ad0ee4291,"1,400.00",no
0xbddcc07c7fe9b7efa8bf0e3d5160b9ae3b4023e7,"1,400.00",no
0xbe070db90f9e46a1db7fd82a2eb70af71451252d,"1,400.00",no
0x8ffacab2a2d8885c06abb1961f947b46dfa0a6af,"1,359.20",no
0xa5fca8b29b6095eddb9a35cb9eeaa0f08ef1fb4c,"1,346.00",no
0x6a945b71f7ccad7ff6fadb7779eb5059b8c60b5b,"1,300.00",no
0xc7f5b41db3a34154cf42ce108c84379c0afe4a4c,"1,300.00",no
0x278f6a60276109c13d2ededf38efcd03b236ac48,"1,280.00",no
